region_index,start_seconds,end_seconds,start_hms,end_hms,duration_s,mean_engagement,max_engagement,covered_seconds_any,coverage_frac_any,coverage_frac_HololiveEN Gura's 10,covered_at_0pct,covered_at_25pct,covered_at_50pct,covered_at_75pct
1,245.0,385.0,4:05,6:25,140.0,1.5222,1.9927,0.0,0.0,0.0,0,0,0,0
2,675.0,735.0,11:15,12:15,60.0,1.232,1.2703,0.0,0.0,0.0,0,0,0,0
3,1935.0,2085.0,32:15,34:45,150.0,1.2945,1.4315,0.0,0.0,0.0,0,0,0,0
4,2525.0,2615.0,42:05,43:35,90.0,1.2581,1.4136,0.0,0.0,0.0,0,0,0,0
5,2865.0,2925.0,47:45,48:45,60.0,1.291,1.3876,0.0,0.0,0.0,0,0,0,0
6,3055.0,3155.0,50:55,52:35,100.0,1.166,1.2645,0.0,0.0,0.0,0,0,0,0
7,3315.0,3395.0,55:15,56:35,80.0,1.3222,1.4419,0.0,0.0,0.0,0,0,0,0
8,3755.0,3895.0,1:02:35,1:04:55,140.0,1.4191,1.6114,48.0,0.3429,0.3429,1,1,0,0
9,3995.0,4225.0,1:06:35,1:10:25,230.0,1.2179,1.407,0.0,0.0,0.0,0,0,0,0
10,4745.0,4885.0,1:19:05,1:21:25,140.0,1.2388,1.405,0.0,0.0,0.0,0,0,0,0
11,4975.0,5085.0,1:22:55,1:24:45,110.0,1.1754,1.254,0.0,0.0,0.0,0,0,0,0
12,5355.0,5415.0,1:29:15,1:30:15,60.0,1.1517,1.1853,0.0,0.0,0.0,0,0,0,0
13,5535.0,6085.0,1:32:15,1:41:25,550.0,1.3594,1.69,0.0,0.0,0.0,0,0,0,0
14,6515.0,6565.0,1:48:35,1:49:25,50.0,1.2007,1.3405,0.0,0.0,0.0,0,0,0,0
15,7065.0,7135.0,1:57:45,1:58:55,70.0,1.2573,1.3893,12.0,0.1714,0.1714,1,0,0,0
16,8035.0,8105.0,2:13:55,2:15:05,70.0,1.3157,1.4495,0.0,0.0,0.0,0,0,0,0
17,8295.0,8495.0,2:18:15,2:21:35,200.0,1.4197,1.6134,0.0,0.0,0.0,0,0,0,0
18,8765.0,8905.0,2:26:05,2:28:25,140.0,1.2778,1.3891,0.0,0.0,0.0,0,0,0,0
19,9125.0,9245.0,2:32:05,2:34:05,120.0,1.2692,1.4055,0.0,0.0,0.0,0,0,0,0
20,9675.0,9765.0,2:41:15,2:42:45,90.0,1.328,1.4475,0.0,0.0,0.0,0,0,0,0
21,10055.0,10175.0,2:47:35,2:49:35,120.0,1.3038,1.4905,0.0,0.0,0.0,0,0,0,0
22,10925.0,11085.0,3:02:05,3:04:45,160.0,1.147,1.2909,0.0,0.0,0.0,0,0,0,0
23,11255.0,11325.0,3:07:35,3:08:45,70.0,1.2553,1.3131,0.0,0.0,0.0,0,0,0,0
24,11385.0,12125.0,3:09:45,3:22:05,740.0,1.4088,2.2481,145.0,0.1959,0.1959,1,0,0,0
25,12255.0,12335.0,3:24:15,3:25:35,80.0,1.2187,1.3153,0.0,0.0,0.0,0,0,0,0
26,13225.0,13275.0,3:40:25,3:41:15,50.0,1.507,1.6548,0.0,0.0,0.0,0,0,0,0
