time_seconds,time_hms,normalized_frequency
30.0,0:30,0.784955640658218
40.0,0:40,0.8285799150526312
50.0,0:50,0.8492320861717515
60.0,1:00,0.8469301045343054
70.0,1:10,0.8508886060121461
80.0,1:20,0.8611029120125073
90.0,1:30,0.9025822997461919
100.0,1:40,0.8981968771709683
110.0,1:50,0.900066945127786
120.0,2:00,0.9352670592695411
130.0,2:10,0.9246384133100466
140.0,2:20,0.9265099029143642
150.0,2:30,0.8680177918541332
160.0,2:40,0.8470146449854674
170.0,2:50,0.8613947214007348
180.0,3:00,0.8362472173108316
190.0,3:10,0.875586193375151
200.0,3:20,0.8151029358527393
210.0,3:30,0.8128569629506356
220.0,3:40,0.8812834394275363
230.0,3:50,0.8831865686610277
240.0,4:00,1.0845490328479794
250.0,4:10,1.4457875361170198
260.0,4:20,1.7134329558617472
270.0,4:30,1.821092765884441
280.0,4:40,1.8581304233151377
290.0,4:50,1.992720761095303
300.0,5:00,1.9135047917820875
310.0,5:10,1.5811693536339197
320.0,5:20,1.4418974201792534
330.0,5:30,1.431285099681693
340.0,5:40,1.3792009765396598
350.0,5:50,1.2732230186066282
360.0,6:00,1.1900892919287611
370.0,6:10,1.1691753354406105
380.0,6:20,1.1005994353126745
390.0,6:30,1.052771293738029
400.0,6:40,1.0360416488561681
410.0,6:50,1.0317506891483004
420.0,7:00,0.9963915581826132
430.0,7:10,0.9734724805770235
440.0,7:20,0.9422787380730402
450.0,7:30,0.9380147850973632
460.0,7:40,0.9337547406745693
470.0,7:50,0.9067268790003127
480.0,8:00,0.9500850168893362
490.0,8:10,0.9354852004853025
500.0,8:20,0.9560716935028445
510.0,8:30,0.9249266602984889
520.0,8:40,0.9268946325253975
530.0,8:50,0.9205899466680043
540.0,9:00,0.8853298988223043
550.0,9:10,0.9059242733137883
560.0,9:20,0.8996316816801334
570.0,9:30,0.8995466931272773
580.0,9:40,0.8870579345227269
590.0,9:50,0.8683713497835724
600.0,10:00,0.862094780439384
610.0,10:10,0.8475529511745932
620.0,10:20,0.8454181546203091
630.0,10:30,0.9342287456639872
640.0,10:40,1.012694961917507
650.0,10:50,1.0704868883636007
660.0,11:00,1.099343694840318
670.0,11:10,1.0352162657382986
680.0,11:20,1.2293712886557977
690.0,11:30,1.264420399537727
700.0,11:40,1.2395570577765314
710.0,11:50,1.1919760006585964
720.0,12:00,1.1960460763409584
730.0,12:10,1.2703498215671727
740.0,12:20,1.0947228148937656
750.0,12:30,0.9955352346313339
760.0,12:40,0.9459269149266321
770.0,12:50,0.962413565756283
780.0,13:00,0.9541193707523287
790.0,13:10,0.9313724734079123
800.0,13:20,0.9396055415168908
810.0,13:30,0.9499057473155921
820.0,13:40,1.0015073121794074
830.0,13:50,1.1893940453001557
840.0,14:00,1.1935021087435411
850.0,14:10,1.1852241790229576
860.0,14:20,1.11913462854452
870.0,14:30,1.0716328513941271
880.0,14:40,1.0261995880404224
890.0,14:50,0.8610125045438678
900.0,15:00,0.8403630269949399
910.0,15:10,0.8651408886174523
920.0,15:20,0.9477350662365883
930.0,15:30,1.0117493906008426
940.0,15:40,1.003498905352915
950.0,15:50,0.9622135428052134
960.0,16:00,0.9126702238425595
970.0,16:10,0.8941012851461013
980.0,16:20,0.8714041573019066
990.0,16:30,0.8342534974927786
1000.0,16:40,0.8631844035930711
1010.0,16:50,0.819840892375482
1020.0,17:00,0.8054091798980895
1030.0,17:10,0.8550004375128586
1040.0,17:20,0.8405732376403618
1050.0,17:30,0.8715852607573005
1060.0,17:40,0.8489002188161887
1070.0,17:50,0.9067714936759848
1080.0,18:00,0.952256384914964
1090.0,18:10,0.9605647874012698
1100.0,18:20,0.9895348020809543
1110.0,18:30,0.9400044570488659
1120.0,18:40,0.9545189430894376
1130.0,18:50,0.9070521497323283
1140.0,19:00,0.9236374173008949
1150.0,19:10,0.892699096683661
1160.0,19:20,0.8844912952989886
1170.0,19:30,0.8576842321679462
1180.0,19:40,0.8267418882925088
1190.0,19:50,0.880544393100448
1200.0,20:00,0.9095511356147422
1210.0,20:10,0.8951508033963305
1220.0,20:20,0.89935780417242
1230.0,20:30,0.9738681710172449
1240.0,20:40,0.976019170637449
1250.0,20:50,0.9430166139138418
1260.0,21:00,0.8624417525031314
1270.0,21:10,0.8252905899093341
1280.0,21:20,0.8046832058834793
1290.0,21:30,0.7799362064584936
1300.0,21:40,0.8110492893566122
1310.0,21:50,0.8442398444761787
1320.0,22:00,0.8733004475572519
1330.0,22:10,0.9727375601786268
1340.0,22:20,0.9873334390465709
1350.0,22:30,1.0143555904326167
1360.0,22:40,0.9937682166220059
1370.0,22:50,0.9897431753356338
1380.0,23:00,1.010569596083548
1390.0,23:10,0.9527019511745487
1400.0,23:20,0.9383206404866051
1410.0,23:30,0.9197947102310986
1420.0,23:40,0.9282005976714238
1430.0,23:50,0.9034564673145297
1440.0,24:00,0.9243012277413146
1450.0,24:10,1.0011167920430848
1460.0,24:20,1.0157659520563336
1470.0,24:30,1.0117619883739624
1480.0,24:40,1.0264214247517085
1490.0,24:50,1.0514568289829922
1500.0,25:00,1.0433149979906495
1510.0,25:10,0.9397463457336082
1520.0,25:20,0.8776448036108613
1530.0,25:30,0.7947749334831699
1540.0,25:40,0.7409374803827617
1550.0,25:50,0.6974636450971676
1560.0,26:00,0.6207595682967352
1570.0,26:10,0.6146315726775168
1580.0,26:20,0.6500389706489464
1590.0,26:30,0.7249254790954321
1600.0,26:40,0.7333587871753863
1610.0,26:50,0.7189401284896789
1620.0,27:00,0.762708336556569
1630.0,27:10,0.7649217671871139
1640.0,27:20,0.7588218084223626
1650.0,27:30,0.7152931804951896
1660.0,27:40,0.7840552302469
1670.0,27:50,0.8299631777391115
1680.0,28:00,0.8051531083233883
1690.0,28:10,0.8448431288376081
1700.0,28:20,0.8616559064226899
1710.0,28:30,0.8847221347672561
1720.0,28:40,0.8286791586852934
1730.0,28:50,0.7746983126107472
1740.0,29:00,0.7831857603754168
1750.0,29:10,0.731260746072497
1760.0,29:20,0.6939026119133229
1770.0,29:30,0.7732470589171068
1780.0,29:40,0.800509706266123
1790.0,29:50,0.848636539759781
1800.0,30:00,0.8717590553727453
1810.0,30:10,0.8531733590362128
1820.0,30:20,0.9639414777505537
1830.0,30:30,0.951632290269058
1840.0,30:40,0.9643681420483688
1850.0,30:50,1.0627133326167826
1860.0,31:00,1.0880139164671903
1870.0,31:10,1.130038611047436
1880.0,31:20,0.969424958209222
1890.0,31:30,0.8944191499876134
1900.0,31:40,0.8988097666589754
1910.0,31:50,0.8383910007357156
1920.0,32:00,0.8657776749902346
1930.0,32:10,0.9559318774135991
1940.0,32:20,1.090069186819832
1950.0,32:30,1.1384703573479182
1960.0,32:40,1.1994573933378136
1970.0,32:50,1.2751338040351887
1980.0,33:00,1.3424732566124402
1990.0,33:10,1.3344339248582284
2000.0,33:20,1.3850645362957508
2010.0,33:30,1.4315319286686472
2020.0,33:40,1.4235173650286557
2030.0,33:50,1.3966280377766986
2040.0,34:00,1.3613369302891871
2050.0,34:10,1.3428149668480065
2060.0,34:20,1.2739166838649034
2070.0,34:30,1.2658628207024616
2080.0,34:40,1.157014468587907
2090.0,34:50,1.0544102646203537
2100.0,35:00,0.9874687003320066
2110.0,35:10,0.9183904187045082
2120.0,35:20,0.9081360827700172
2130.0,35:30,0.9125970089922486
2140.0,35:40,0.9612325854393948
2150.0,35:50,0.9362592321750027
2160.0,36:00,0.9365280135276091
2170.0,36:10,0.9957433193644367
2180.0,36:20,1.0213023600156066
2190.0,36:30,0.9878991478858248
2200.0,36:40,1.01136753675666
2210.0,36:50,1.1107267248701487
2220.0,37:00,1.1848478477597533
2230.0,37:10,1.1598970552131735
2240.0,37:20,1.077975691993159
2250.0,37:30,1.0023371096667248
2260.0,37:40,0.8823267229336593
2270.0,37:50,0.8340344972556574
2280.0,38:00,0.7392469555906102
2290.0,38:10,0.7035599791065608
2300.0,38:20,0.68053265363837
2310.0,38:30,0.6807473804321537
2320.0,38:40,0.7401776489827407
2330.0,38:50,0.7298365940849328
2340.0,39:00,0.7427678109726995
2350.0,39:10,0.7768769543526054
2360.0,39:20,0.8470073469292263
2370.0,39:30,0.8790571040787538
2380.0,39:40,0.8687512537755473
2390.0,39:50,0.8732773353920473
2400.0,40:00,0.8332814134024867
2410.0,40:10,0.780534167900477
2420.0,40:20,0.8423262691365921
2430.0,40:30,0.8277533798595921
2440.0,40:40,0.8620047998621593
2450.0,40:50,0.9430065091721698
2460.0,41:00,1.0516851991610385
2470.0,41:10,1.1413122056135228
2480.0,41:20,1.0694205922628919
2490.0,41:30,1.1229634652118794
2500.0,41:40,1.0574016992382878
2510.0,41:50,1.0705433851736197
2520.0,42:00,1.0773088689055954
2530.0,42:10,1.2140002097547824
2540.0,42:20,1.3273544035936886
2550.0,42:30,1.321436298143879
2560.0,42:40,1.4135934209524406
2570.0,42:50,1.3586500556835195
2580.0,43:00,1.3164709484349137
2590.0,43:10,1.1675409503135334
2600.0,43:20,1.1039127754136155
2610.0,43:30,1.1000479206128146
2620.0,43:40,1.07267704698401
2630.0,43:50,1.0559755156073098
2640.0,44:00,1.0499551601315036
2650.0,44:10,1.0097046319988618
2660.0,44:20,0.9523052479858256
2670.0,44:30,0.9077088393196329
2680.0,44:40,0.882354668430883
2690.0,44:50,0.7884238880659624
2700.0,45:00,0.6901357560907003
2710.0,45:10,0.6453756416517449
2720.0,45:20,0.6349008603066502
2730.0,45:30,0.590086582199977
2740.0,45:40,0.5237721732631574
2750.0,45:50,0.5433045880708518
2760.0,46:00,0.5993741583556917
2770.0,46:10,0.6189534113469324
2780.0,46:20,0.6428490738746879
2790.0,46:30,0.7377428557435466
2800.0,46:40,0.8951132299136113
2810.0,46:50,0.9535924792378974
2820.0,47:00,1.0035063926124845
2830.0,47:10,1.0620793613906907
2840.0,47:20,1.0689766921217356
2850.0,47:30,1.0370718077006136
2860.0,47:40,1.1216179965993445
2870.0,47:50,1.2688126607124828
2880.0,48:00,1.254225245921073
2890.0,48:10,1.2936182408867896
2900.0,48:20,1.3157615021530924
2910.0,48:30,1.3876379039475164
