region_index,start_seconds,end_seconds,start_hms,end_hms,duration_seconds,z_threshold
1,245.0,385.0,4:05,6:25,140.0,0.5
2,675.0,735.0,11:15,12:15,60.0,0.5
3,1935.0,2085.0,32:15,34:45,150.0,0.5
4,2525.0,2615.0,42:05,43:35,90.0,0.5
5,2865.0,2925.0,47:45,48:45,60.0,0.5
6,3055.0,3155.0,50:55,52:35,100.0,0.5
7,3315.0,3395.0,55:15,56:35,80.0,0.5
8,3755.0,3895.0,1:02:35,1:04:55,140.0,0.5
9,3995.0,4225.0,1:06:35,1:10:25,230.0,0.5
10,4745.0,4885.0,1:19:05,1:21:25,140.0,0.5
11,4975.0,5085.0,1:22:55,1:24:45,110.0,0.5
12,5355.0,5415.0,1:29:15,1:30:15,60.0,0.5
13,5535.0,6085.0,1:32:15,1:41:25,550.0,0.5
14,6515.0,6565.0,1:48:35,1:49:25,50.0,0.5
15,7065.0,7135.0,1:57:45,1:58:55,70.0,0.5
16,8035.0,8105.0,2:13:55,2:15:05,70.0,0.5
17,8295.0,8495.0,2:18:15,2:21:35,200.0,0.5
18,8765.0,8905.0,2:26:05,2:28:25,140.0,0.5
19,9125.0,9245.0,2:32:05,2:34:05,120.0,0.5
20,9675.0,9765.0,2:41:15,2:42:45,90.0,0.5
21,10055.0,10175.0,2:47:35,2:49:35,120.0,0.5
22,10925.0,11085.0,3:02:05,3:04:45,160.0,0.5
23,11255.0,11325.0,3:07:35,3:08:45,70.0,0.5
24,11385.0,12125.0,3:09:45,3:22:05,740.0,0.5
25,12255.0,12335.0,3:24:15,3:25:35,80.0,0.5
26,13225.0,13275.0,3:40:25,3:41:15,50.0,0.5
