region_index,start_seconds,end_seconds,start_hms,end_hms,duration_seconds,z_threshold
1,125.0,215.0,2:05,3:35,90.0,0.5
2,495.0,635.0,8:15,10:35,140.0,0.5
3,765.0,845.0,12:45,14:05,80.0,0.5
4,925.0,1015.0,15:25,16:55,90.0,0.5
5,1145.0,1265.0,19:05,21:05,120.0,0.5
6,1825.0,1885.0,30:25,31:25,60.0,0.5
7,2445.0,2745.0,40:45,45:45,300.0,0.5
8,2895.0,3165.0,48:15,52:45,270.0,0.5
9,6315.0,6645.0,1:45:15,1:50:45,330.0,0.5
10,6945.0,7255.0,1:55:45,2:00:55,310.0,0.5
11,7535.0,7605.0,2:05:35,2:06:45,70.0,0.5
12,7845.0,7915.0,2:10:45,2:11:55,70.0,0.5
13,8225.0,8295.0,2:17:05,2:18:15,70.0,0.5
14,10105.0,10175.0,2:48:25,2:49:35,70.0,0.5
15,11295.0,11405.0,3:08:15,3:10:05,110.0,0.5
16,11625.0,11855.0,3:13:45,3:17:35,230.0,0.5
