region_index,start_seconds,end_seconds,start_hms,end_hms,duration_s,mean_engagement,max_engagement,covered_seconds_any,coverage_frac_any,coverage_frac_Nimi Hilariously Cau,coverage_frac_Nimi gets scammed by,covered_at_0pct,covered_at_25pct,covered_at_50pct,covered_at_75pct
1,25.0,235.0,0:25,3:55,210.0,1.4754,1.9258,0.0,0.0,0.0,0.0,0,0,0,0
2,1355.0,1465.0,22:35,24:25,110.0,1.2714,1.4384,0.0,0.0,0.0,0.0,0,0,0,0
3,2365.0,2495.0,39:25,41:35,130.0,1.7725,2.0316,31.0,0.2385,0.2385,0.0,1,0,0,0
4,2565.0,2645.0,42:45,44:05,80.0,1.6794,2.0384,21.0,0.2625,0.2625,0.0,1,1,0,0
5,2705.0,2995.0,45:05,49:55,290.0,1.7185,2.5948,70.0,0.2414,0.0448,0.2103,1,0,0,0
6,3305.0,3375.0,55:05,56:15,70.0,1.4773,1.8607,0.0,0.0,0.0,0.0,0,0,0,0
7,4065.0,4135.0,1:07:45,1:08:55,70.0,2.0736,2.4166,24.0,0.3429,0.3429,0.0,1,1,0,0
8,4725.0,4995.0,1:18:45,1:23:15,270.0,2.1354,2.9242,31.0,0.1148,0.1148,0.0,1,0,0,0
9,5165.0,5225.0,1:26:05,1:27:05,60.0,1.2472,1.3941,0.0,0.0,0.0,0.0,0,0,0,0
10,6885.0,7035.0,1:54:45,1:57:15,150.0,2.1326,3.1488,38.0,0.2533,0.2533,0.0,1,1,0,0
11,8075.0,8185.0,2:14:35,2:16:25,110.0,1.8311,2.4888,3.0,0.0273,0.0273,0.0,1,0,0,0
12,8415.0,8475.0,2:20:15,2:21:15,60.0,1.3096,1.5566,22.0,0.3667,0.3667,0.0,1,1,0,0
13,9255.0,9315.0,2:34:15,2:35:15,60.0,2.0705,2.4897,0.0,0.0,0.0,0.0,0,0,0,0
