highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,30,303.0,317.0,7493.0,7507.0,14.0,0.6238,5,audio_mel_ncc,5:03,5:17,2:04:53,2:05:07
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,31,309.0,321.0,4323.0,4335.0,12.0,0.6803,3,audio_mel_ncc,5:09,5:21,1:12:03,1:12:15
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,32,319.0,331.0,4348.0,4360.0,12.0,0.7325,3,audio_mel_ncc,5:19,5:31,1:12:28,1:12:40
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,33,349.0,363.0,3965.0,3979.0,14.0,0.7054,5,audio_mel_ncc,5:49,6:03,1:06:05,1:06:19
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,34,366.0,378.0,10638.0,10650.0,12.0,0.67,3,audio_mel_ncc,6:06,6:18,2:57:18,2:57:30
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,35,385.0,397.0,4440.0,4452.0,12.0,0.6913,3,audio_mel_ncc,6:25,6:37,1:14:00,1:14:12
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,36,410.0,424.0,1858.0,1872.0,14.0,0.7854,5,audio_mel_ncc,6:50,7:04,30:58,31:12
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,37,420.0,438.0,10592.0,10610.0,18.0,0.7514,9,audio_mel_ncc,7:00,7:18,2:56:32,2:56:50
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,38,430.0,442.0,10317.0,10329.0,12.0,0.6434,3,audio_mel_ncc,7:10,7:22,2:51:57,2:52:09
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,39,451.0,465.0,4147.0,4161.0,14.0,0.7937,5,audio_mel_ncc,7:31,7:45,1:09:07,1:09:21
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,40,466.0,479.0,9809.0,9822.0,13.0,0.7914,4,audio_mel_ncc,7:46,7:59,2:43:29,2:43:42
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,41,472.0,486.0,4096.0,4110.0,14.0,0.7875,5,audio_mel_ncc,7:52,8:06,1:08:16,1:08:30
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,42,478.0,490.0,4102.0,4114.0,12.0,0.8174,3,audio_mel_ncc,7:58,8:10,1:08:22,1:08:34
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,43,489.0,503.0,5276.0,5290.0,14.0,0.6848,5,audio_mel_ncc,8:09,8:23,1:27:56,1:28:10
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,44,494.0,506.0,9809.0,9821.0,12.0,0.7104,3,audio_mel_ncc,8:14,8:26,2:43:29,2:43:41
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,45,499.0,518.0,10906.0,10925.0,19.0,0.7033,10,audio_mel_ncc,8:19,8:38,3:01:46,3:02:05
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,46,511.0,523.0,2031.0,2043.0,12.0,0.7234,3,audio_mel_ncc,8:31,8:43,33:51,34:03
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,47,518.0,531.0,11097.0,11110.0,13.0,0.8344,4,audio_mel_ncc,8:38,8:51,3:04:57,3:05:10
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,48,546.0,558.0,3072.0,3084.0,12.0,0.4767,3,audio_mel_ncc,9:06,9:18,51:12,51:24
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,49,549.0,561.0,11373.0,11385.0,12.0,0.4248,3,audio_mel_ncc,9:09,9:21,3:09:33,3:09:45
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,50,554.0,566.0,5499.0,5511.0,12.0,0.5948,3,audio_mel_ncc,9:14,9:26,1:31:39,1:31:51
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,51,569.0,582.0,4099.0,4112.0,13.0,0.8091,4,audio_mel_ncc,9:29,9:42,1:08:19,1:08:32
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,52,585.0,597.0,8284.0,8296.0,12.0,0.7729,3,audio_mel_ncc,9:45,9:57,2:18:04,2:18:16
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,53,600.0,613.0,8200.0,8213.0,13.0,0.6985,4,audio_mel_ncc,10:00,10:13,2:16:40,2:16:53
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,54,605.0,618.0,8205.0,8218.0,13.0,0.7425,4,audio_mel_ncc,10:05,10:18,2:16:45,2:16:58
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,55,622.0,634.0,11993.0,12005.0,12.0,0.6808,3,audio_mel_ncc,10:22,10:34,3:19:53,3:20:05
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,56,645.0,657.0,11143.0,11155.0,12.0,0.704,3,audio_mel_ncc,10:45,10:57,3:05:43,3:05:55
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,57,656.0,669.0,4222.0,4235.0,13.0,0.7197,4,audio_mel_ncc,10:56,11:09,1:10:22,1:10:35
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,58,660.0,673.0,9257.0,9270.0,13.0,0.7136,4,audio_mel_ncc,11:00,11:13,2:34:17,2:34:30
