region_index,start_seconds,end_seconds,start_hms,end_hms,duration_s,mean_engagement,max_engagement,covered_seconds_any,coverage_frac_any,coverage_frac_Nimi Island Gets a N,coverage_frac_Nimi Opened a New St,covered_at_0pct,covered_at_25pct,covered_at_50pct,covered_at_75pct
1,1135.0,1235.0,18:55,20:35,100.0,1.8784,2.4239,0.0,0.0,0.0,0.0,0,0,0,0
2,2575.0,2745.0,42:55,45:45,170.0,1.4574,1.7769,72.0,0.4235,0.2,0.4235,1,1,0,0
3,2975.0,3135.0,49:35,52:15,160.0,1.8805,2.6939,25.0,0.1562,0.1562,0.0,1,0,0,0
4,3795.0,3885.0,1:03:15,1:04:45,90.0,1.54,1.7385,25.0,0.2778,0.1333,0.1444,1,1,0,0
5,4515.0,4575.0,1:15:15,1:16:15,60.0,1.6133,1.8209,7.0,0.1167,0.0,0.1167,1,0,0,0
6,4955.0,4995.0,1:22:35,1:23:15,40.0,1.3502,1.5184,29.0,0.725,0.0,0.725,1,1,1,0
7,5125.0,5195.0,1:25:25,1:26:35,70.0,2.0096,2.3779,10.0,0.1429,0.1429,0.1429,1,0,0,0
8,6365.0,6455.0,1:46:05,1:47:35,90.0,1.6124,1.8093,12.0,0.1333,0.1333,0.0,1,0,0,0
9,6735.0,6875.0,1:52:15,1:54:35,140.0,1.517,1.8568,14.0,0.1,0.0,0.1,1,0,0,0
10,7085.0,7165.0,1:58:05,1:59:25,80.0,1.9156,2.3615,0.0,0.0,0.0,0.0,0,0,0,0
11,7305.0,7445.0,2:01:45,2:04:05,140.0,1.6491,2.0871,28.0,0.2,0.1714,0.0857,1,0,0,0
12,9095.0,9155.0,2:31:35,2:32:35,60.0,1.7189,2.0246,0.0,0.0,0.0,0.0,0,0,0,0
13,9315.0,9445.0,2:35:15,2:37:25,130.0,1.4755,1.7399,21.0,0.1615,0.0923,0.1615,1,0,0,0
14,9525.0,10255.0,2:38:45,2:50:55,730.0,2.3954,4.6593,172.0,0.2356,0.2356,0.0356,1,0,0,0
15,11345.0,11445.0,3:09:05,3:10:45,100.0,1.5781,1.9851,12.0,0.12,0.12,0.0,1,0,0,0
16,12105.0,12185.0,3:21:45,3:23:05,80.0,1.6552,2.112,15.0,0.1875,0.1875,0.0,1,0,0,0
17,12575.0,12655.0,3:29:35,3:30:55,80.0,1.4564,1.886,25.0,0.3125,0.3125,0.0,1,1,0,0
18,12995.0,13085.0,3:36:35,3:38:05,90.0,3.0129,3.7799,16.0,0.1778,0.1778,0.1333,1,0,0,0
19,13335.0,13665.0,3:42:15,3:47:45,330.0,1.3669,1.8192,67.0,0.203,0.203,0.0,1,0,0,0
20,13905.0,13965.0,3:51:45,3:52:45,60.0,1.3517,1.4669,0.0,0.0,0.0,0.0,0,0,0,0
21,15825.0,15885.0,4:23:45,4:24:45,60.0,1.3537,1.5387,13.0,0.2167,0.2167,0.0,1,0,0,0
22,15975.0,16025.0,4:26:15,4:27:05,50.0,1.6218,1.7128,6.0,0.12,0.12,0.0,1,0,0,0
23,16175.0,16235.0,4:29:35,4:30:35,60.0,1.6518,1.9124,3.0,0.05,0.05,0.0,1,0,0,0
24,16345.0,16495.0,4:32:25,4:34:55,150.0,1.564,2.129,0.0,0.0,0.0,0.0,0,0,0,0
25,16895.0,16945.0,4:41:35,4:42:25,50.0,1.5307,1.6218,0.0,0.0,0.0,0.0,0,0,0,0
26,17015.0,17085.0,4:43:35,4:44:45,70.0,1.8666,2.1924,20.0,0.2857,0.2857,0.0,1,1,0,0
27,17215.0,17315.0,4:46:55,4:48:35,100.0,5.0222,6.9013,0.0,0.0,0.0,0.0,0,0,0,0
