region_index,start_seconds,end_seconds,start_hms,end_hms,duration_seconds,z_threshold
1,25.0,395.0,0:25,6:35,370.0,0.0
2,455.0,725.0,7:35,12:05,270.0,0.0
3,865.0,955.0,14:25,15:55,90.0,0.0
4,1085.0,1235.0,18:05,20:35,150.0,0.0
5,1385.0,1445.0,23:05,24:05,60.0,0.0
6,2315.0,2365.0,38:35,39:25,50.0,0.0
7,2575.0,2745.0,42:55,45:45,170.0,0.0
8,2805.0,3135.0,46:45,52:15,330.0,0.0
9,3205.0,3465.0,53:25,57:45,260.0,0.0
10,3715.0,3885.0,1:01:55,1:04:45,170.0,0.0
11,4485.0,4575.0,1:14:45,1:16:15,90.0,0.0
12,4615.0,4715.0,1:16:55,1:18:35,100.0,0.0
13,4925.0,4995.0,1:22:05,1:23:15,70.0,0.0
14,5085.0,5195.0,1:24:45,1:26:35,110.0,0.0
15,5295.0,5355.0,1:28:15,1:29:15,60.0,0.0
16,5475.0,5565.0,1:31:15,1:32:45,90.0,0.0
17,6335.0,6615.0,1:45:35,1:50:15,280.0,0.0
18,6735.0,6965.0,1:52:15,1:56:05,230.0,0.0
19,7045.0,7165.0,1:57:25,1:59:25,120.0,0.0
20,7305.0,7495.0,2:01:45,2:04:55,190.0,0.0
21,7755.0,7815.0,2:09:15,2:10:15,60.0,0.0
22,7995.0,8075.0,2:13:15,2:14:35,80.0,0.0
23,9095.0,9255.0,2:31:35,2:34:15,160.0,0.0
24,9315.0,10255.0,2:35:15,2:50:55,940.0,0.0
25,10305.0,10485.0,2:51:45,2:54:45,180.0,0.0
26,10595.0,10655.0,2:56:35,2:57:35,60.0,0.0
27,10785.0,10835.0,2:59:45,3:00:35,50.0,0.0
28,10875.0,10935.0,3:01:15,3:02:15,60.0,0.0
29,11345.0,12185.0,3:09:05,3:23:05,840.0,0.0
30,12575.0,12655.0,3:29:35,3:30:55,80.0,0.0
31,12885.0,13115.0,3:34:45,3:38:35,230.0,0.0
32,13265.0,13665.0,3:41:05,3:47:45,400.0,0.0
33,13905.0,13965.0,3:51:45,3:52:45,60.0,0.0
34,14635.0,14695.0,4:03:55,4:04:55,60.0,0.0
35,15235.0,15305.0,4:13:55,4:15:05,70.0,0.0
36,15565.0,15625.0,4:19:25,4:20:25,60.0,0.0
37,15825.0,16025.0,4:23:45,4:27:05,200.0,0.0
38,16175.0,16235.0,4:29:35,4:30:35,60.0,0.0
39,16345.0,16495.0,4:32:25,4:34:55,150.0,0.0
40,16895.0,17315.0,4:41:35,4:48:35,420.0,0.0
